cdmvto_sinc_billeteraIC;cdusuarioIC;femvtoIC;cdnumero_transaccionIC;vrmvtoIC;dsdescripcion_mvtoIC;cdtipo_mvtoIC;cdtipo_ajusteIC;cdorigen_ajusteIC;cdmvto_relacionIC;cdusuario_ingresaIC;feingresaIC;femodificaIC;cdmovimiento_referenciaIC;dsplacaIC;cdpunto_atencionIC;cdtipo_consumoIC;vrajusteIC;cdajusteIC
24118548;36468;2024-11-15;24118548;31732;Prueba performance insertar consumo 12348;0;null;null;25111534;21;2024-11-15;null;null;MIT123;123;1;null;null
24118549;36468;2024-11-15;24118549;31733;Prueba performance insertar consumo 12349;0;null;null;25111535;21;2024-11-15;null;null;QWE000;123;1;null;null
24118550;36468;2024-11-15;24118550;31734;Prueba performance insertar consumo 12350;0;null;null;25111536;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118551;36468;2024-11-15;24118551;31735;Prueba performance insertar consumo 12351;0;null;null;25111537;21;2024-11-15;null;null;AJT124;123;1;null;null
24118552;36468;2024-11-15;24118552;31736;Prueba performance insertar consumo 12352;0;null;null;25111538;21;2024-11-15;null;null;COA721;123;1;null;null
24118553;36468;2024-11-15;24118553;31737;Prueba performance insertar consumo 12353;0;null;null;25111539;21;2024-11-15;null;null;JJV112;123;1;null;null
24118554;36468;2024-11-15;24118554;31738;Prueba performance insertar consumo 12354;0;null;null;25111540;21;2024-11-15;null;null;LED195;123;1;null;null
24118555;36468;2024-11-15;24118555;31739;Prueba performance insertar consumo 12355;0;null;null;25111541;21;2024-11-15;null;null;MIT123;123;1;null;null
24118556;36468;2024-11-15;24118556;31740;Prueba performance insertar consumo 12356;0;null;null;25111542;21;2024-11-15;null;null;QWE000;123;1;null;null
24118557;36468;2024-11-15;24118557;31741;Prueba performance insertar consumo 12357;0;null;null;25111543;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118558;36468;2024-11-15;24118558;31742;Prueba performance insertar consumo 12358;0;null;null;25111544;21;2024-11-15;null;null;AJT124;123;1;null;null
24118559;36468;2024-11-15;24118559;31743;Prueba performance insertar consumo 12359;0;null;null;25111545;21;2024-11-15;null;null;COA721;123;1;null;null
24118560;36468;2024-11-15;24118560;31744;Prueba performance insertar consumo 12360;0;null;null;25111546;21;2024-11-15;null;null;JJV112;123;1;null;null
24118561;36468;2024-11-15;24118561;31745;Prueba performance insertar consumo 12361;0;null;null;25111547;21;2024-11-15;null;null;LED195;123;1;null;null
24118562;36468;2024-11-15;24118562;31746;Prueba performance insertar consumo 12362;0;null;null;25111548;21;2024-11-15;null;null;MIT123;123;1;null;null
24118563;36468;2024-11-15;24118563;31747;Prueba performance insertar consumo 12363;0;null;null;25111549;21;2024-11-15;null;null;QWE000;123;1;null;null
24118564;36468;2024-11-15;24118564;31748;Prueba performance insertar consumo 12364;0;null;null;25111550;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118565;36468;2024-11-15;24118565;31749;Prueba performance insertar consumo 12365;0;null;null;25111551;21;2024-11-15;null;null;AJT124;123;1;null;null
24118566;36468;2024-11-15;24118566;31750;Prueba performance insertar consumo 12366;0;null;null;25111552;21;2024-11-15;null;null;COA721;123;1;null;null
24118567;36468;2024-11-15;24118567;31751;Prueba performance insertar consumo 12367;0;null;null;25111553;21;2024-11-15;null;null;JJV112;123;1;null;null
24118568;36468;2024-11-15;24118568;31752;Prueba performance insertar consumo 12368;0;null;null;25111554;21;2024-11-15;null;null;LED195;123;1;null;null
24118569;36468;2024-11-15;24118569;31753;Prueba performance insertar consumo 12369;0;null;null;25111555;21;2024-11-15;null;null;MIT123;123;1;null;null
24118570;36468;2024-11-15;24118570;31754;Prueba performance insertar consumo 12370;0;null;null;25111556;21;2024-11-15;null;null;QWE000;123;1;null;null
24118571;36468;2024-11-15;24118571;31755;Prueba performance insertar consumo 12371;0;null;null;25111557;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118572;36468;2024-11-15;24118572;31756;Prueba performance insertar consumo 12372;0;null;null;25111558;21;2024-11-15;null;null;AJT124;123;1;null;null
24118573;36468;2024-11-15;24118573;31757;Prueba performance insertar consumo 12373;0;null;null;25111559;21;2024-11-15;null;null;COA721;123;1;null;null
24118574;36468;2024-11-15;24118574;31758;Prueba performance insertar consumo 12374;0;null;null;25111560;21;2024-11-15;null;null;JJV112;123;1;null;null
24118575;36468;2024-11-15;24118575;31759;Prueba performance insertar consumo 12375;0;null;null;25111561;21;2024-11-15;null;null;LED195;123;1;null;null
24118576;36468;2024-11-15;24118576;31760;Prueba performance insertar consumo 12376;0;null;null;25111562;21;2024-11-15;null;null;MIT123;123;1;null;null
24118577;36468;2024-11-15;24118577;31761;Prueba performance insertar consumo 12377;0;null;null;25111563;21;2024-11-15;null;null;QWE000;123;1;null;null
24118578;36468;2024-11-15;24118578;31762;Prueba performance insertar consumo 12378;0;null;null;25111564;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118579;36468;2024-11-15;24118579;31763;Prueba performance insertar consumo 12379;0;null;null;25111565;21;2024-11-15;null;null;AJT124;123;1;null;null
24118580;36468;2024-11-15;24118580;31764;Prueba performance insertar consumo 12380;0;null;null;25111566;21;2024-11-15;null;null;COA721;123;1;null;null
24118581;36468;2024-11-15;24118581;31765;Prueba performance insertar consumo 12381;0;null;null;25111567;21;2024-11-15;null;null;JJV112;123;1;null;null
24118582;36468;2024-11-15;24118582;31766;Prueba performance insertar consumo 12382;0;null;null;25111568;21;2024-11-15;null;null;LED195;123;1;null;null
24118583;36468;2024-11-15;24118583;31767;Prueba performance insertar consumo 12383;0;null;null;25111569;21;2024-11-15;null;null;MIT123;123;1;null;null
24118584;36468;2024-11-15;24118584;31768;Prueba performance insertar consumo 12384;0;null;null;25111570;21;2024-11-15;null;null;QWE000;123;1;null;null
24118585;36468;2024-11-15;24118585;31769;Prueba performance insertar consumo 12385;0;null;null;25111571;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118586;36468;2024-11-15;24118586;31770;Prueba performance insertar consumo 12386;0;null;null;25111572;21;2024-11-15;null;null;AJT124;123;1;null;null
24118587;36468;2024-11-15;24118587;31771;Prueba performance insertar consumo 12387;0;null;null;25111573;21;2024-11-15;null;null;COA721;123;1;null;null
24118588;36468;2024-11-15;24118588;31772;Prueba performance insertar consumo 12388;0;null;null;25111574;21;2024-11-15;null;null;JJV112;123;1;null;null
24118589;36468;2024-11-15;24118589;31773;Prueba performance insertar consumo 12389;0;null;null;25111575;21;2024-11-15;null;null;LED195;123;1;null;null
24118590;36468;2024-11-15;24118590;31774;Prueba performance insertar consumo 12390;0;null;null;25111576;21;2024-11-15;null;null;MIT123;123;1;null;null
24118591;36468;2024-11-15;24118591;31775;Prueba performance insertar consumo 12391;0;null;null;25111577;21;2024-11-15;null;null;QWE000;123;1;null;null
24118592;36468;2024-11-15;24118592;31776;Prueba performance insertar consumo 12392;0;null;null;25111578;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118593;36468;2024-11-15;24118593;31777;Prueba performance insertar consumo 12393;0;null;null;25111579;21;2024-11-15;null;null;AJT124;123;1;null;null
24118594;36468;2024-11-15;24118594;31778;Prueba performance insertar consumo 12394;0;null;null;25111580;21;2024-11-15;null;null;COA721;123;1;null;null
24118595;36468;2024-11-15;24118595;31779;Prueba performance insertar consumo 12395;0;null;null;25111581;21;2024-11-15;null;null;JJV112;123;1;null;null
24118596;36468;2024-11-15;24118596;31780;Prueba performance insertar consumo 12396;0;null;null;25111582;21;2024-11-15;null;null;LED195;123;1;null;null
24118597;36468;2024-11-15;24118597;31781;Prueba performance insertar consumo 12397;0;null;null;25111583;21;2024-11-15;null;null;MIT123;123;1;null;null
24118598;36468;2024-11-15;24118598;31782;Prueba performance insertar consumo 12398;0;null;null;25111584;21;2024-11-15;null;null;QWE000;123;1;null;null
24118599;36468;2024-11-15;24118599;31783;Prueba performance insertar consumo 12399;0;null;null;25111585;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118600;36468;2024-11-15;24118600;31784;Prueba performance insertar consumo 12400;0;null;null;25111586;21;2024-11-15;null;null;AJT124;123;1;null;null
24118601;36468;2024-11-15;24118601;31785;Prueba performance insertar consumo 12401;0;null;null;25111587;21;2024-11-15;null;null;COA721;123;1;null;null
24118602;36468;2024-11-15;24118602;31786;Prueba performance insertar consumo 12402;0;null;null;25111588;21;2024-11-15;null;null;JJV112;123;1;null;null
24118603;36468;2024-11-15;24118603;31787;Prueba performance insertar consumo 12403;0;null;null;25111589;21;2024-11-15;null;null;LED195;123;1;null;null
24118604;36468;2024-11-15;24118604;31788;Prueba performance insertar consumo 12404;0;null;null;25111590;21;2024-11-15;null;null;MIT123;123;1;null;null
24118605;36468;2024-11-15;24118605;31789;Prueba performance insertar consumo 12405;0;null;null;25111591;21;2024-11-15;null;null;QWE000;123;1;null;null
24118606;36468;2024-11-15;24118606;31790;Prueba performance insertar consumo 12406;0;null;null;25111592;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118607;36468;2024-11-15;24118607;31791;Prueba performance insertar consumo 12407;0;null;null;25111593;21;2024-11-15;null;null;AJT124;123;1;null;null
24118608;36468;2024-11-15;24118608;31792;Prueba performance insertar consumo 12408;0;null;null;25111594;21;2024-11-15;null;null;COA721;123;1;null;null
24118609;36468;2024-11-15;24118609;31793;Prueba performance insertar consumo 12409;0;null;null;25111595;21;2024-11-15;null;null;JJV112;123;1;null;null
24118610;36468;2024-11-15;24118610;31794;Prueba performance insertar consumo 12410;0;null;null;25111596;21;2024-11-15;null;null;LED195;123;1;null;null
24118611;36468;2024-11-15;24118611;31795;Prueba performance insertar consumo 12411;0;null;null;25111597;21;2024-11-15;null;null;MIT123;123;1;null;null
24118612;36468;2024-11-15;24118612;31796;Prueba performance insertar consumo 12412;0;null;null;25111598;21;2024-11-15;null;null;QWE000;123;1;null;null
24118613;36468;2024-11-15;24118613;31797;Prueba performance insertar consumo 12413;0;null;null;25111599;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118614;36468;2024-11-15;24118614;31798;Prueba performance insertar consumo 12414;0;null;null;25111600;21;2024-11-15;null;null;AJT124;123;1;null;null
24118615;36468;2024-11-15;24118615;31799;Prueba performance insertar consumo 12415;0;null;null;25111601;21;2024-11-15;null;null;COA721;123;1;null;null
24118616;36468;2024-11-15;24118616;31800;Prueba performance insertar consumo 12416;0;null;null;25111602;21;2024-11-15;null;null;JJV112;123;1;null;null
24118617;36468;2024-11-15;24118617;31801;Prueba performance insertar consumo 12417;0;null;null;25111603;21;2024-11-15;null;null;LED195;123;1;null;null
24118618;36468;2024-11-15;24118618;31802;Prueba performance insertar consumo 12418;0;null;null;25111604;21;2024-11-15;null;null;MIT123;123;1;null;null
24118619;36468;2024-11-15;24118619;31803;Prueba performance insertar consumo 12419;0;null;null;25111605;21;2024-11-15;null;null;QWE000;123;1;null;null
24118620;36468;2024-11-15;24118620;31804;Prueba performance insertar consumo 12420;0;null;null;25111606;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118621;36468;2024-11-15;24118621;31805;Prueba performance insertar consumo 12421;0;null;null;25111607;21;2024-11-15;null;null;AJT124;123;1;null;null
24118622;36468;2024-11-15;24118622;31806;Prueba performance insertar consumo 12422;0;null;null;25111608;21;2024-11-15;null;null;COA721;123;1;null;null
24118623;36468;2024-11-15;24118623;31807;Prueba performance insertar consumo 12423;0;null;null;25111609;21;2024-11-15;null;null;JJV112;123;1;null;null
24118624;36468;2024-11-15;24118624;31808;Prueba performance insertar consumo 12424;0;null;null;25111610;21;2024-11-15;null;null;LED195;123;1;null;null
24118625;36468;2024-11-15;24118625;31809;Prueba performance insertar consumo 12425;0;null;null;25111611;21;2024-11-15;null;null;MIT123;123;1;null;null
24118626;36468;2024-11-15;24118626;31810;Prueba performance insertar consumo 12426;0;null;null;25111612;21;2024-11-15;null;null;QWE000;123;1;null;null
24118627;36468;2024-11-15;24118627;31811;Prueba performance insertar consumo 12427;0;null;null;25111613;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118628;36468;2024-11-15;24118628;31812;Prueba performance insertar consumo 12428;0;null;null;25111614;21;2024-11-15;null;null;AJT124;123;1;null;null
24118629;36468;2024-11-15;24118629;31813;Prueba performance insertar consumo 12429;0;null;null;25111615;21;2024-11-15;null;null;COA721;123;1;null;null
24118630;36468;2024-11-15;24118630;31814;Prueba performance insertar consumo 12430;0;null;null;25111616;21;2024-11-15;null;null;JJV112;123;1;null;null
24118631;36468;2024-11-15;24118631;31815;Prueba performance insertar consumo 12431;0;null;null;25111617;21;2024-11-15;null;null;LED195;123;1;null;null
24118632;36468;2024-11-15;24118632;31816;Prueba performance insertar consumo 12432;0;null;null;25111618;21;2024-11-15;null;null;MIT123;123;1;null;null
24118633;36468;2024-11-15;24118633;31817;Prueba performance insertar consumo 12433;0;null;null;25111619;21;2024-11-15;null;null;QWE000;123;1;null;null
24118634;36468;2024-11-15;24118634;31818;Prueba performance insertar consumo 12434;0;null;null;25111620;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118635;36468;2024-11-15;24118635;31819;Prueba performance insertar consumo 12435;0;null;null;25111621;21;2024-11-15;null;null;AJT124;123;1;null;null
24118636;36468;2024-11-15;24118636;31820;Prueba performance insertar consumo 12436;0;null;null;25111622;21;2024-11-15;null;null;COA721;123;1;null;null
24118637;36468;2024-11-15;24118637;31821;Prueba performance insertar consumo 12437;0;null;null;25111623;21;2024-11-15;null;null;JJV112;123;1;null;null
24118638;36468;2024-11-15;24118638;31822;Prueba performance insertar consumo 12438;0;null;null;25111624;21;2024-11-15;null;null;LED195;123;1;null;null
24118639;36468;2024-11-15;24118639;31823;Prueba performance insertar consumo 12439;0;null;null;25111625;21;2024-11-15;null;null;MIT123;123;1;null;null
24118640;36468;2024-11-15;24118640;31824;Prueba performance insertar consumo 12440;0;null;null;25111626;21;2024-11-15;null;null;QWE000;123;1;null;null
24118641;36468;2024-11-15;24118641;31825;Prueba performance insertar consumo 12441;0;null;null;25111627;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118642;36468;2024-11-15;24118642;31826;Prueba performance insertar consumo 12442;0;null;null;25111628;21;2024-11-15;null;null;AJT124;123;1;null;null
24118643;36468;2024-11-15;24118643;31827;Prueba performance insertar consumo 12443;0;null;null;25111629;21;2024-11-15;null;null;COA721;123;1;null;null
24118644;36468;2024-11-15;24118644;31828;Prueba performance insertar consumo 12444;0;null;null;25111630;21;2024-11-15;null;null;JJV112;123;1;null;null
24118645;36468;2024-11-15;24118645;31829;Prueba performance insertar consumo 12445;0;null;null;25111631;21;2024-11-15;null;null;LED195;123;1;null;null
24118646;36468;2024-11-15;24118646;31830;Prueba performance insertar consumo 12446;0;null;null;25111632;21;2024-11-15;null;null;MIT123;123;1;null;null
24118647;36468;2024-11-15;24118647;31831;Prueba performance insertar consumo 12447;0;null;null;25111633;21;2024-11-15;null;null;QWE000;123;1;null;null
24118648;36468;2024-11-15;24118648;31832;Prueba performance insertar consumo 12448;0;null;null;25111634;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118649;36468;2024-11-15;24118649;31833;Prueba performance insertar consumo 12449;0;null;null;25111635;21;2024-11-15;null;null;AJT124;123;1;null;null
24118650;36468;2024-11-15;24118650;31834;Prueba performance insertar consumo 12450;0;null;null;25111636;21;2024-11-15;null;null;COA721;123;1;null;null
24118651;36468;2024-11-15;24118651;31835;Prueba performance insertar consumo 12451;0;null;null;25111637;21;2024-11-15;null;null;JJV112;123;1;null;null
24118652;36468;2024-11-15;24118652;31836;Prueba performance insertar consumo 12452;0;null;null;25111638;21;2024-11-15;null;null;LED195;123;1;null;null
24118653;36468;2024-11-15;24118653;31837;Prueba performance insertar consumo 12453;0;null;null;25111639;21;2024-11-15;null;null;MIT123;123;1;null;null
24118654;36468;2024-11-15;24118654;31838;Prueba performance insertar consumo 12454;0;null;null;25111640;21;2024-11-15;null;null;QWE000;123;1;null;null
24118655;36468;2024-11-15;24118655;31839;Prueba performance insertar consumo 12455;0;null;null;25111641;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118656;36468;2024-11-15;24118656;31840;Prueba performance insertar consumo 12456;0;null;null;25111642;21;2024-11-15;null;null;AJT124;123;1;null;null
24118657;36468;2024-11-15;24118657;31841;Prueba performance insertar consumo 12457;0;null;null;25111643;21;2024-11-15;null;null;COA721;123;1;null;null
24118658;36468;2024-11-15;24118658;31842;Prueba performance insertar consumo 12458;0;null;null;25111644;21;2024-11-15;null;null;JJV112;123;1;null;null
24118659;36468;2024-11-15;24118659;31843;Prueba performance insertar consumo 12459;0;null;null;25111645;21;2024-11-15;null;null;LED195;123;1;null;null
24118660;36468;2024-11-15;24118660;31844;Prueba performance insertar consumo 12460;0;null;null;25111646;21;2024-11-15;null;null;MIT123;123;1;null;null
24118661;36468;2024-11-15;24118661;31845;Prueba performance insertar consumo 12461;0;null;null;25111647;21;2024-11-15;null;null;QWE000;123;1;null;null
24118662;36468;2024-11-15;24118662;31846;Prueba performance insertar consumo 12462;0;null;null;25111648;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118663;36468;2024-11-15;24118663;31847;Prueba performance insertar consumo 12463;0;null;null;25111649;21;2024-11-15;null;null;AJT124;123;1;null;null
24118664;36468;2024-11-15;24118664;31848;Prueba performance insertar consumo 12464;0;null;null;25111650;21;2024-11-15;null;null;COA721;123;1;null;null
24118665;36468;2024-11-15;24118665;31849;Prueba performance insertar consumo 12465;0;null;null;25111651;21;2024-11-15;null;null;JJV112;123;1;null;null
24118666;36468;2024-11-15;24118666;31850;Prueba performance insertar consumo 12466;0;null;null;25111652;21;2024-11-15;null;null;LED195;123;1;null;null
24118667;36468;2024-11-15;24118667;31851;Prueba performance insertar consumo 12467;0;null;null;25111653;21;2024-11-15;null;null;MIT123;123;1;null;null
24118668;36468;2024-11-15;24118668;31852;Prueba performance insertar consumo 12468;0;null;null;25111654;21;2024-11-15;null;null;QWE000;123;1;null;null
24118669;36468;2024-11-15;24118669;31853;Prueba performance insertar consumo 12469;0;null;null;25111655;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118670;36468;2024-11-15;24118670;31854;Prueba performance insertar consumo 12470;0;null;null;25111656;21;2024-11-15;null;null;AJT124;123;1;null;null
24118671;36468;2024-11-15;24118671;31855;Prueba performance insertar consumo 12471;0;null;null;25111657;21;2024-11-15;null;null;COA721;123;1;null;null
24118672;36468;2024-11-15;24118672;31856;Prueba performance insertar consumo 12472;0;null;null;25111658;21;2024-11-15;null;null;JJV112;123;1;null;null
24118673;36468;2024-11-15;24118673;31857;Prueba performance insertar consumo 12473;0;null;null;25111659;21;2024-11-15;null;null;LED195;123;1;null;null
24118674;36468;2024-11-15;24118674;31858;Prueba performance insertar consumo 12474;0;null;null;25111660;21;2024-11-15;null;null;MIT123;123;1;null;null
24118675;36468;2024-11-15;24118675;31859;Prueba performance insertar consumo 12475;0;null;null;25111661;21;2024-11-15;null;null;QWE000;123;1;null;null
24118676;36468;2024-11-15;24118676;31860;Prueba performance insertar consumo 12476;0;null;null;25111662;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118677;36468;2024-11-15;24118677;31861;Prueba performance insertar consumo 12477;0;null;null;25111663;21;2024-11-15;null;null;AJT124;123;1;null;null
24118678;36468;2024-11-15;24118678;31862;Prueba performance insertar consumo 12478;0;null;null;25111664;21;2024-11-15;null;null;COA721;123;1;null;null
24118679;36468;2024-11-15;24118679;31863;Prueba performance insertar consumo 12479;0;null;null;25111665;21;2024-11-15;null;null;JJV112;123;1;null;null
24118680;36468;2024-11-15;24118680;31864;Prueba performance insertar consumo 12480;0;null;null;25111666;21;2024-11-15;null;null;LED195;123;1;null;null
24118681;36468;2024-11-15;24118681;31865;Prueba performance insertar consumo 12481;0;null;null;25111667;21;2024-11-15;null;null;MIT123;123;1;null;null
24118682;36468;2024-11-15;24118682;31866;Prueba performance insertar consumo 12482;0;null;null;25111668;21;2024-11-15;null;null;QWE000;123;1;null;null
24118683;36468;2024-11-15;24118683;31867;Prueba performance insertar consumo 12483;0;null;null;25111669;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118684;36468;2024-11-15;24118684;31868;Prueba performance insertar consumo 12484;0;null;null;25111670;21;2024-11-15;null;null;AJT124;123;1;null;null
24118685;36468;2024-11-15;24118685;31869;Prueba performance insertar consumo 12485;0;null;null;25111671;21;2024-11-15;null;null;COA721;123;1;null;null
24118686;36468;2024-11-15;24118686;31870;Prueba performance insertar consumo 12486;0;null;null;25111672;21;2024-11-15;null;null;JJV112;123;1;null;null
24118687;36468;2024-11-15;24118687;31871;Prueba performance insertar consumo 12487;0;null;null;25111673;21;2024-11-15;null;null;LED195;123;1;null;null
24118688;36468;2024-11-15;24118688;31872;Prueba performance insertar consumo 12488;0;null;null;25111674;21;2024-11-15;null;null;MIT123;123;1;null;null
24118689;36468;2024-11-15;24118689;31873;Prueba performance insertar consumo 12489;0;null;null;25111675;21;2024-11-15;null;null;QWE000;123;1;null;null
24118690;36468;2024-11-15;24118690;31874;Prueba performance insertar consumo 12490;0;null;null;25111676;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118691;36468;2024-11-15;24118691;31875;Prueba performance insertar consumo 12491;0;null;null;25111677;21;2024-11-15;null;null;AJT124;123;1;null;null
24118692;36468;2024-11-15;24118692;31876;Prueba performance insertar consumo 12492;0;null;null;25111678;21;2024-11-15;null;null;COA721;123;1;null;null
24118693;36468;2024-11-15;24118693;31877;Prueba performance insertar consumo 12493;0;null;null;25111679;21;2024-11-15;null;null;JJV112;123;1;null;null
24118694;36468;2024-11-15;24118694;31878;Prueba performance insertar consumo 12494;0;null;null;25111680;21;2024-11-15;null;null;LED195;123;1;null;null
24118695;36468;2024-11-15;24118695;31879;Prueba performance insertar consumo 12495;0;null;null;25111681;21;2024-11-15;null;null;MIT123;123;1;null;null
24118696;36468;2024-11-15;24118696;31880;Prueba performance insertar consumo 12496;0;null;null;25111682;21;2024-11-15;null;null;QWE000;123;1;null;null
24118697;36468;2024-11-15;24118697;31881;Prueba performance insertar consumo 12497;0;null;null;25111683;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118698;36468;2024-11-15;24118698;31882;Prueba performance insertar consumo 12498;0;null;null;25111684;21;2024-11-15;null;null;AJT124;123;1;null;null
24118699;36468;2024-11-15;24118699;31883;Prueba performance insertar consumo 12499;0;null;null;25111685;21;2024-11-15;null;null;COA721;123;1;null;null
24118700;36468;2024-11-15;24118700;31884;Prueba performance insertar consumo 12500;0;null;null;25111686;21;2024-11-15;null;null;JJV112;123;1;null;null
24118701;36468;2024-11-15;24118701;31885;Prueba performance insertar consumo 12501;0;null;null;25111687;21;2024-11-15;null;null;LED195;123;1;null;null
24118702;36468;2024-11-15;24118702;31886;Prueba performance insertar consumo 12502;0;null;null;25111688;21;2024-11-15;null;null;MIT123;123;1;null;null
24118703;36468;2024-11-15;24118703;31887;Prueba performance insertar consumo 12503;0;null;null;25111689;21;2024-11-15;null;null;QWE000;123;1;null;null
24118704;36468;2024-11-15;24118704;31888;Prueba performance insertar consumo 12504;0;null;null;25111690;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118705;36468;2024-11-15;24118705;31889;Prueba performance insertar consumo 12505;0;null;null;25111691;21;2024-11-15;null;null;AJT124;123;1;null;null
24118706;36468;2024-11-15;24118706;31890;Prueba performance insertar consumo 12506;0;null;null;25111692;21;2024-11-15;null;null;COA721;123;1;null;null
24118707;36468;2024-11-15;24118707;31891;Prueba performance insertar consumo 12507;0;null;null;25111693;21;2024-11-15;null;null;JJV112;123;1;null;null
24118708;36468;2024-11-15;24118708;31892;Prueba performance insertar consumo 12508;0;null;null;25111694;21;2024-11-15;null;null;LED195;123;1;null;null
24118709;36468;2024-11-15;24118709;31893;Prueba performance insertar consumo 12509;0;null;null;25111695;21;2024-11-15;null;null;MIT123;123;1;null;null
24118710;36468;2024-11-15;24118710;31894;Prueba performance insertar consumo 12510;0;null;null;25111696;21;2024-11-15;null;null;QWE000;123;1;null;null
24118711;36468;2024-11-15;24118711;31895;Prueba performance insertar consumo 12511;0;null;null;25111697;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118712;36468;2024-11-15;24118712;31896;Prueba performance insertar consumo 12512;0;null;null;25111698;21;2024-11-15;null;null;AJT124;123;1;null;null
24118713;36468;2024-11-15;24118713;31897;Prueba performance insertar consumo 12513;0;null;null;25111699;21;2024-11-15;null;null;COA721;123;1;null;null
24118714;36468;2024-11-15;24118714;31898;Prueba performance insertar consumo 12514;0;null;null;25111700;21;2024-11-15;null;null;JJV112;123;1;null;null
24118715;36468;2024-11-15;24118715;31899;Prueba performance insertar consumo 12515;0;null;null;25111701;21;2024-11-15;null;null;LED195;123;1;null;null
24118716;36468;2024-11-15;24118716;31900;Prueba performance insertar consumo 12516;0;null;null;25111702;21;2024-11-15;null;null;MIT123;123;1;null;null
24118717;36468;2024-11-15;24118717;31901;Prueba performance insertar consumo 12517;0;null;null;25111703;21;2024-11-15;null;null;QWE000;123;1;null;null
24118718;36468;2024-11-15;24118718;31902;Prueba performance insertar consumo 12518;0;null;null;25111704;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118719;36468;2024-11-15;24118719;31903;Prueba performance insertar consumo 12519;0;null;null;25111705;21;2024-11-15;null;null;AJT124;123;1;null;null
24118720;36468;2024-11-15;24118720;31904;Prueba performance insertar consumo 12520;0;null;null;25111706;21;2024-11-15;null;null;COA721;123;1;null;null
24118721;36468;2024-11-15;24118721;31905;Prueba performance insertar consumo 12521;0;null;null;25111707;21;2024-11-15;null;null;JJV112;123;1;null;null
24118722;36468;2024-11-15;24118722;31906;Prueba performance insertar consumo 12522;0;null;null;25111708;21;2024-11-15;null;null;LED195;123;1;null;null
24118723;36468;2024-11-15;24118723;31907;Prueba performance insertar consumo 12523;0;null;null;25111709;21;2024-11-15;null;null;MIT123;123;1;null;null
24118724;36468;2024-11-15;24118724;31908;Prueba performance insertar consumo 12524;0;null;null;25111710;21;2024-11-15;null;null;QWE000;123;1;null;null
24118725;36468;2024-11-15;24118725;31909;Prueba performance insertar consumo 12525;0;null;null;25111711;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118726;36468;2024-11-15;24118726;31910;Prueba performance insertar consumo 12526;0;null;null;25111712;21;2024-11-15;null;null;AJT124;123;1;null;null
24118727;36468;2024-11-15;24118727;31911;Prueba performance insertar consumo 12527;0;null;null;25111713;21;2024-11-15;null;null;COA721;123;1;null;null
24118728;36468;2024-11-15;24118728;31912;Prueba performance insertar consumo 12528;0;null;null;25111714;21;2024-11-15;null;null;JJV112;123;1;null;null
24118729;36468;2024-11-15;24118729;31913;Prueba performance insertar consumo 12529;0;null;null;25111715;21;2024-11-15;null;null;LED195;123;1;null;null
24118730;36468;2024-11-15;24118730;31914;Prueba performance insertar consumo 12530;0;null;null;25111716;21;2024-11-15;null;null;MIT123;123;1;null;null
24118731;36468;2024-11-15;24118731;31915;Prueba performance insertar consumo 12531;0;null;null;25111717;21;2024-11-15;null;null;QWE000;123;1;null;null
24118732;36468;2024-11-15;24118732;31916;Prueba performance insertar consumo 12532;0;null;null;25111718;21;2024-11-15;null;null;RTQ843;123;1;null;null
24118733;36468;2024-11-15;24118733;31917;Prueba performance insertar consumo 12533;0;null;null;25111719;21;2024-11-15;null;null;AJT124;123;1;null;null
24118734;36468;2024-11-15;24118734;31918;Prueba performance insertar consumo 12534;0;null;null;25111720;21;2024-11-15;null;null;COA721;123;1;null;null
24118735;36468;2024-11-15;24118735;31919;Prueba performance insertar consumo 12535;0;null;null;25111721;21;2024-11-15;null;null;JJV112;123;1;null;null
24118736;36468;2024-11-15;24118736;31920;Prueba performance insertar consumo 12536;0;null;null;25111722;21;2024-11-15;null;null;LED195;123;1;null;null
