cdmvto_sinc_billeteraICO;cdusuarioICO;femvtoICO;cdnumero_transaccionICO;vrmvtoICO;dsdescripcion_mvtoICO;cdtipo_mvtoICO;cdtipo_ajusteICO;cdorigen_ajusteICO;cdmvto_relacionICO;cdusuario_ingresaICO;feingresaICO;femodificaICO;cdmovimiento_referenciaICO;dsplacaICO;cdpunto_atencionICO;cdtipo_consumoICO;vrajusteICO;cdajusteICO
7120677;39962;2024-11-15;7120677;31166;Prueba performance insertar comision 11855;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120678;39763;2024-11-15;7120678;31167;Prueba performance insertar comision 11856;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120679;39996;2024-11-15;7120679;31168;Prueba performance insertar comision 11857;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120680;39906;2024-11-15;7120680;31169;Prueba performance insertar comision 11858;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120681;39961;2024-11-15;7120681;31170;Prueba performance insertar comision 11859;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120682;39962;2024-11-15;7120682;31171;Prueba performance insertar comision 11860;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120683;39763;2024-11-15;7120683;31172;Prueba performance insertar comision 11861;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120684;39996;2024-11-15;7120684;31173;Prueba performance insertar comision 11862;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120685;39906;2024-11-15;7120685;31174;Prueba performance insertar comision 11863;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120686;39960;2024-11-15;7120686;31175;Prueba performance insertar comision 11864;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120687;39961;2024-11-15;7120687;31176;Prueba performance insertar comision 11865;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120688;39962;2024-11-15;7120688;31177;Prueba performance insertar comision 11866;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120689;39763;2024-11-15;7120689;31178;Prueba performance insertar comision 11867;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120690;39996;2024-11-15;7120690;31179;Prueba performance insertar comision 11868;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120691;39906;2024-11-15;7120691;31180;Prueba performance insertar comision 11869;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120692;39960;2024-11-15;7120692;31181;Prueba performance insertar comision 11870;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120693;39961;2024-11-15;7120693;31182;Prueba performance insertar comision 11871;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120694;39962;2024-11-15;7120694;31183;Prueba performance insertar comision 11872;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120695;39763;2024-11-15;7120695;31184;Prueba performance insertar comision 11873;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120696;39996;2024-11-15;7120696;31185;Prueba performance insertar comision 11874;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120697;39906;2024-11-15;7120697;31186;Prueba performance insertar comision 11875;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120698;39960;2024-11-15;7120698;31187;Prueba performance insertar comision 11876;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120699;39961;2024-11-15;7120699;31188;Prueba performance insertar comision 11877;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120700;39962;2024-11-15;7120700;31189;Prueba performance insertar comision 11878;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120701;39763;2024-11-15;7120701;31190;Prueba performance insertar comision 11879;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120702;39996;2024-11-15;7120702;31191;Prueba performance insertar comision 11880;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120703;39906;2024-11-15;7120703;31192;Prueba performance insertar comision 11881;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120704;39960;2024-11-15;7120704;31193;Prueba performance insertar comision 11882;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120705;39961;2024-11-15;7120705;31194;Prueba performance insertar comision 11883;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120706;39962;2024-11-15;7120706;31195;Prueba performance insertar comision 11884;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120707;39763;2024-11-15;7120707;31196;Prueba performance insertar comision 11885;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120708;39996;2024-11-15;7120708;31197;Prueba performance insertar comision 11886;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120709;39906;2024-11-15;7120709;31198;Prueba performance insertar comision 11887;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120710;39960;2024-11-15;7120710;31199;Prueba performance insertar comision 11888;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120711;39961;2024-11-15;7120711;31200;Prueba performance insertar comision 11889;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120712;39962;2024-11-15;7120712;31201;Prueba performance insertar comision 11890;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120713;39763;2024-11-15;7120713;31202;Prueba performance insertar comision 11891;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120714;39996;2024-11-15;7120714;31203;Prueba performance insertar comision 11892;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120715;39906;2024-11-15;7120715;31204;Prueba performance insertar comision 11893;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120716;39961;2024-11-15;7120716;31205;Prueba performance insertar comision 11894;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120717;39962;2024-11-15;7120717;31206;Prueba performance insertar comision 11895;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120718;39763;2024-11-15;7120718;31207;Prueba performance insertar comision 11896;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120719;39996;2024-11-15;7120719;31208;Prueba performance insertar comision 11897;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120720;39906;2024-11-15;7120720;31209;Prueba performance insertar comision 11898;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120721;39960;2024-11-15;7120721;31210;Prueba performance insertar comision 11899;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120722;39961;2024-11-15;7120722;31211;Prueba performance insertar comision 11900;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120723;39962;2024-11-15;7120723;31212;Prueba performance insertar comision 11901;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120724;39763;2024-11-15;7120724;31213;Prueba performance insertar comision 11902;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120725;39996;2024-11-15;7120725;31214;Prueba performance insertar comision 11903;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120726;39906;2024-11-15;7120726;31215;Prueba performance insertar comision 11904;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120727;39960;2024-11-15;7120727;31216;Prueba performance insertar comision 11905;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120728;39961;2024-11-15;7120728;31217;Prueba performance insertar comision 11906;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120729;39962;2024-11-15;7120729;31218;Prueba performance insertar comision 11907;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120730;39763;2024-11-15;7120730;31219;Prueba performance insertar comision 11908;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120731;39996;2024-11-15;7120731;31220;Prueba performance insertar comision 11909;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120732;39906;2024-11-15;7120732;31221;Prueba performance insertar comision 11910;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120733;39960;2024-11-15;7120733;31222;Prueba performance insertar comision 11911;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120734;39961;2024-11-15;7120734;31223;Prueba performance insertar comision 11912;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120735;39962;2024-11-15;7120735;31224;Prueba performance insertar comision 11913;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120736;39763;2024-11-15;7120736;31225;Prueba performance insertar comision 11914;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120737;39996;2024-11-15;7120737;31226;Prueba performance insertar comision 11915;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120738;39906;2024-11-15;7120738;31227;Prueba performance insertar comision 11916;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120739;39960;2024-11-15;7120739;31228;Prueba performance insertar comision 11917;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120740;39961;2024-11-15;7120740;31229;Prueba performance insertar comision 11918;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120741;39962;2024-11-15;7120741;31230;Prueba performance insertar comision 11919;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120742;39763;2024-11-15;7120742;31231;Prueba performance insertar comision 11920;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120743;39996;2024-11-15;7120743;31232;Prueba performance insertar comision 11921;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120744;39906;2024-11-15;7120744;31233;Prueba performance insertar comision 11922;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120745;39960;2024-11-15;7120745;31234;Prueba performance insertar comision 11923;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120746;39961;2024-11-15;7120746;31235;Prueba performance insertar comision 11924;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120747;39962;2024-11-15;7120747;31236;Prueba performance insertar comision 11925;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120748;39763;2024-11-15;7120748;31237;Prueba performance insertar comision 11926;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120749;39996;2024-11-15;7120749;31238;Prueba performance insertar comision 11927;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120750;39906;2024-11-15;7120750;31239;Prueba performance insertar comision 11928;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120751;39961;2024-11-15;7120751;31240;Prueba performance insertar comision 11929;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120752;39962;2024-11-15;7120752;31241;Prueba performance insertar comision 11930;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120753;39763;2024-11-15;7120753;31242;Prueba performance insertar comision 11931;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120754;39996;2024-11-15;7120754;31243;Prueba performance insertar comision 11932;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120755;39906;2024-11-15;7120755;31244;Prueba performance insertar comision 11933;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120756;39960;2024-11-15;7120756;31245;Prueba performance insertar comision 11934;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120757;39961;2024-11-15;7120757;31246;Prueba performance insertar comision 11935;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120758;39962;2024-11-15;7120758;31247;Prueba performance insertar comision 11936;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120759;39763;2024-11-15;7120759;31248;Prueba performance insertar comision 11937;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120760;39996;2024-11-15;7120760;31249;Prueba performance insertar comision 11938;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120761;39906;2024-11-15;7120761;31250;Prueba performance insertar comision 11939;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120762;39960;2024-11-15;7120762;31251;Prueba performance insertar comision 11940;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120763;39961;2024-11-15;7120763;31252;Prueba performance insertar comision 11941;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120764;39962;2024-11-15;7120764;31253;Prueba performance insertar comision 11942;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120765;39763;2024-11-15;7120765;31254;Prueba performance insertar comision 11943;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120766;39996;2024-11-15;7120766;31255;Prueba performance insertar comision 11944;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120767;39906;2024-11-15;7120767;31256;Prueba performance insertar comision 11945;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120768;39960;2024-11-15;7120768;31257;Prueba performance insertar comision 11946;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120769;39961;2024-11-15;7120769;31258;Prueba performance insertar comision 11947;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120770;39962;2024-11-15;7120770;31259;Prueba performance insertar comision 11948;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120771;39763;2024-11-15;7120771;31260;Prueba performance insertar comision 11949;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120772;39996;2024-11-15;7120772;31261;Prueba performance insertar comision 11950;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120773;39906;2024-11-15;7120773;31262;Prueba performance insertar comision 11951;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120774;39960;2024-11-15;7120774;31263;Prueba performance insertar comision 11952;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120775;39961;2024-11-15;7120775;31264;Prueba performance insertar comision 11953;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120776;39962;2024-11-15;7120776;31265;Prueba performance insertar comision 11954;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120777;39763;2024-11-15;7120777;31266;Prueba performance insertar comision 11955;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120778;39996;2024-11-15;7120778;31267;Prueba performance insertar comision 11956;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120779;39906;2024-11-15;7120779;31268;Prueba performance insertar comision 11957;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120780;39960;2024-11-15;7120780;31269;Prueba performance insertar comision 11958;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120781;39961;2024-11-15;7120781;31270;Prueba performance insertar comision 11959;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120782;39962;2024-11-15;7120782;31271;Prueba performance insertar comision 11960;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120783;39763;2024-11-15;7120783;31272;Prueba performance insertar comision 11961;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120784;39996;2024-11-15;7120784;31273;Prueba performance insertar comision 11962;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120785;39906;2024-11-15;7120785;31274;Prueba performance insertar comision 11963;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120786;39961;2024-11-15;7120786;31275;Prueba performance insertar comision 11964;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120787;39962;2024-11-15;7120787;31276;Prueba performance insertar comision 11965;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120788;39763;2024-11-15;7120788;31277;Prueba performance insertar comision 11966;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120789;39996;2024-11-15;7120789;31278;Prueba performance insertar comision 11967;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120790;39906;2024-11-15;7120790;31279;Prueba performance insertar comision 11968;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120791;39960;2024-11-15;7120791;31280;Prueba performance insertar comision 11969;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120792;39961;2024-11-15;7120792;31281;Prueba performance insertar comision 11970;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120793;39962;2024-11-15;7120793;31282;Prueba performance insertar comision 11971;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120794;39763;2024-11-15;7120794;31283;Prueba performance insertar comision 11972;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120795;39996;2024-11-15;7120795;31284;Prueba performance insertar comision 11973;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120796;39906;2024-11-15;7120796;31285;Prueba performance insertar comision 11974;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120797;39960;2024-11-15;7120797;31286;Prueba performance insertar comision 11975;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120798;39961;2024-11-15;7120798;31287;Prueba performance insertar comision 11976;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120799;39962;2024-11-15;7120799;31288;Prueba performance insertar comision 11977;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120800;39763;2024-11-15;7120800;31289;Prueba performance insertar comision 11978;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120801;39996;2024-11-15;7120801;31290;Prueba performance insertar comision 11979;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120802;39906;2024-11-15;7120802;31291;Prueba performance insertar comision 11980;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120803;39960;2024-11-15;7120803;31292;Prueba performance insertar comision 11981;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120804;39961;2024-11-15;7120804;31293;Prueba performance insertar comision 11982;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120805;39962;2024-11-15;7120805;31294;Prueba performance insertar comision 11983;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120806;39763;2024-11-15;7120806;31295;Prueba performance insertar comision 11984;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120807;39996;2024-11-15;7120807;31296;Prueba performance insertar comision 11985;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120808;39906;2024-11-15;7120808;31297;Prueba performance insertar comision 11986;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120809;39960;2024-11-15;7120809;31298;Prueba performance insertar comision 11987;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120810;39961;2024-11-15;7120810;31299;Prueba performance insertar comision 11988;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120811;39962;2024-11-15;7120811;31300;Prueba performance insertar comision 11989;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120812;39763;2024-11-15;7120812;31301;Prueba performance insertar comision 11990;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120813;39996;2024-11-15;7120813;31302;Prueba performance insertar comision 11991;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120814;39906;2024-11-15;7120814;31303;Prueba performance insertar comision 11992;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120815;39960;2024-11-15;7120815;31304;Prueba performance insertar comision 11993;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120816;39961;2024-11-15;7120816;31305;Prueba performance insertar comision 11994;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120817;39962;2024-11-15;7120817;31306;Prueba performance insertar comision 11995;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120818;39763;2024-11-15;7120818;31307;Prueba performance insertar comision 11996;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120819;39996;2024-11-15;7120819;31308;Prueba performance insertar comision 11997;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120820;39906;2024-11-15;7120820;31309;Prueba performance insertar comision 11998;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120821;39961;2024-11-15;7120821;31310;Prueba performance insertar comision 11999;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120822;39962;2024-11-15;7120822;31311;Prueba performance insertar comision 12000;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120823;39763;2024-11-15;7120823;31312;Prueba performance insertar comision 12001;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120824;39996;2024-11-15;7120824;31313;Prueba performance insertar comision 12002;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120825;39906;2024-11-15;7120825;31314;Prueba performance insertar comision 12003;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120826;39960;2024-11-15;7120826;31315;Prueba performance insertar comision 12004;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120827;39961;2024-11-15;7120827;31316;Prueba performance insertar comision 12005;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120828;39962;2024-11-15;7120828;31317;Prueba performance insertar comision 12006;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120829;39763;2024-11-15;7120829;31318;Prueba performance insertar comision 12007;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120830;39996;2024-11-15;7120830;31319;Prueba performance insertar comision 12008;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120831;39906;2024-11-15;7120831;31320;Prueba performance insertar comision 12009;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120832;39960;2024-11-15;7120832;31321;Prueba performance insertar comision 12010;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120833;39961;2024-11-15;7120833;31322;Prueba performance insertar comision 12011;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120834;39962;2024-11-15;7120834;31323;Prueba performance insertar comision 12012;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120835;39763;2024-11-15;7120835;31324;Prueba performance insertar comision 12013;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120836;39996;2024-11-15;7120836;31325;Prueba performance insertar comision 12014;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120837;39906;2024-11-15;7120837;31326;Prueba performance insertar comision 12015;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120838;39960;2024-11-15;7120838;31327;Prueba performance insertar comision 12016;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120839;39961;2024-11-15;7120839;31328;Prueba performance insertar comision 12017;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120840;39962;2024-11-15;7120840;31329;Prueba performance insertar comision 12018;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120841;39763;2024-11-15;7120841;31330;Prueba performance insertar comision 12019;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120842;39996;2024-11-15;7120842;31331;Prueba performance insertar comision 12020;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120843;39906;2024-11-15;7120843;31332;Prueba performance insertar comision 12021;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120844;39960;2024-11-15;7120844;31333;Prueba performance insertar comision 12022;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120845;39961;2024-11-15;7120845;31334;Prueba performance insertar comision 12023;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120846;39962;2024-11-15;7120846;31335;Prueba performance insertar comision 12024;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120847;39763;2024-11-15;7120847;31336;Prueba performance insertar comision 12025;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120848;39996;2024-11-15;7120848;31337;Prueba performance insertar comision 12026;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120849;39906;2024-11-15;7120849;31338;Prueba performance insertar comision 12027;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120850;39960;2024-11-15;7120850;31339;Prueba performance insertar comision 12028;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120851;39961;2024-11-15;7120851;31340;Prueba performance insertar comision 12029;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120852;39962;2024-11-15;7120852;31341;Prueba performance insertar comision 12030;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120853;39763;2024-11-15;7120853;31342;Prueba performance insertar comision 12031;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120854;39996;2024-11-15;7120854;31343;Prueba performance insertar comision 12032;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120855;39906;2024-11-15;7120855;31344;Prueba performance insertar comision 12033;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120856;39961;2024-11-15;7120856;31345;Prueba performance insertar comision 12034;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120857;39962;2024-11-15;7120857;31346;Prueba performance insertar comision 12035;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120858;39763;2024-11-15;7120858;31347;Prueba performance insertar comision 12036;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120859;39996;2024-11-15;7120859;31348;Prueba performance insertar comision 12037;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120860;39906;2024-11-15;7120860;31349;Prueba performance insertar comision 12038;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120861;39960;2024-11-15;7120861;31350;Prueba performance insertar comision 12039;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120862;39961;2024-11-15;7120862;31351;Prueba performance insertar comision 12040;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120863;39962;2024-11-15;7120863;31352;Prueba performance insertar comision 12041;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120864;39763;2024-11-15;7120864;31353;Prueba performance insertar comision 12042;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120865;39996;2024-11-15;7120865;31354;Prueba performance insertar comision 12043;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120866;39906;2024-11-15;7120866;31355;Prueba performance insertar comision 12044;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120867;39960;2024-11-15;7120867;31356;Prueba performance insertar comision 12045;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120868;39961;2024-11-15;7120868;31357;Prueba performance insertar comision 12046;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120869;39962;2024-11-15;7120869;31358;Prueba performance insertar comision 12047;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120870;39763;2024-11-15;7120870;31359;Prueba performance insertar comision 12048;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120871;39996;2024-11-15;7120871;31360;Prueba performance insertar comision 12049;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120872;39906;2024-11-15;7120872;31361;Prueba performance insertar comision 12050;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120873;39960;2024-11-15;7120873;31362;Prueba performance insertar comision 12051;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120874;39961;2024-11-15;7120874;31363;Prueba performance insertar comision 12052;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120875;39962;2024-11-15;7120875;31364;Prueba performance insertar comision 12053;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120876;39763;2024-11-15;7120876;31365;Prueba performance insertar comision 12054;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120877;39996;2024-11-15;7120877;31366;Prueba performance insertar comision 12055;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120878;39906;2024-11-15;7120878;31367;Prueba performance insertar comision 12056;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120879;39960;2024-11-15;7120879;31368;Prueba performance insertar comision 12057;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120880;39961;2024-11-15;7120880;31369;Prueba performance insertar comision 12058;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120881;39962;2024-11-15;7120881;31370;Prueba performance insertar comision 12059;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
