cdmvto_sinc_billeteraIAR;cdusuarioIAR;femvtoIAR;cdnumero_transaccionIAR;vrmvtoIAR;dsdescripcion_mvtoIAR;cdtipo_mvtoIAR;cdtipo_ajusteIAR;cdorigen_ajusteIAR;cdmvto_relacionIAR;cdusuario_ingresaIAR;feingresaIAR;femodificaIAR;cdmovimiento_referenciaIAR;dsplacaIAR;cdpunto_atencionIAR;cdtipo_consumoIAR;vrajusteIAR;cdajusteIAR
8172405;39764;2024-11-15;8172405;32495;Prueba performance insertar ajuste de recarga 13153;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172406;39765;2024-11-15;8172406;32496;Prueba performance insertar ajuste de recarga 13154;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172407;39766;2024-11-15;8172407;32497;Prueba performance insertar ajuste de recarga 13155;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172408;39763;2024-11-15;8172408;32498;Prueba performance insertar ajuste de recarga 13156;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172409;39763;2024-11-15;8172409;32499;Prueba performance insertar ajuste de recarga 13157;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172410;39764;2024-11-15;8172410;32500;Prueba performance insertar ajuste de recarga 13158;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172411;39765;2024-11-15;8172411;32501;Prueba performance insertar ajuste de recarga 13159;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172412;39766;2024-11-15;8172412;32502;Prueba performance insertar ajuste de recarga 13160;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172413;39763;2024-11-15;8172413;32503;Prueba performance insertar ajuste de recarga 13161;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172414;39763;2024-11-15;8172414;32504;Prueba performance insertar ajuste de recarga 13162;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172415;39764;2024-11-15;8172415;32505;Prueba performance insertar ajuste de recarga 13163;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172416;39765;2024-11-15;8172416;32506;Prueba performance insertar ajuste de recarga 13164;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172417;39766;2024-11-15;8172417;32507;Prueba performance insertar ajuste de recarga 13165;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172418;39763;2024-11-15;8172418;32508;Prueba performance insertar ajuste de recarga 13166;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172419;39764;2024-11-15;8172419;32509;Prueba performance insertar ajuste de recarga 13167;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172420;39765;2024-11-15;8172420;32510;Prueba performance insertar ajuste de recarga 13168;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172421;39766;2024-11-15;8172421;32511;Prueba performance insertar ajuste de recarga 13169;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172422;39763;2024-11-15;8172422;32512;Prueba performance insertar ajuste de recarga 13170;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172423;39763;2024-11-15;8172423;32513;Prueba performance insertar ajuste de recarga 13171;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172424;39764;2024-11-15;8172424;32514;Prueba performance insertar ajuste de recarga 13172;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172425;39765;2024-11-15;8172425;32515;Prueba performance insertar ajuste de recarga 13173;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172426;39766;2024-11-15;8172426;32516;Prueba performance insertar ajuste de recarga 13174;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172427;39763;2024-11-15;8172427;32517;Prueba performance insertar ajuste de recarga 13175;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172428;39763;2024-11-15;8172428;32518;Prueba performance insertar ajuste de recarga 13176;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172429;39764;2024-11-15;8172429;32519;Prueba performance insertar ajuste de recarga 13177;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172430;39765;2024-11-15;8172430;32520;Prueba performance insertar ajuste de recarga 13178;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172431;39766;2024-11-15;8172431;32521;Prueba performance insertar ajuste de recarga 13179;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172432;39763;2024-11-15;8172432;32522;Prueba performance insertar ajuste de recarga 13180;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172433;39763;2024-11-15;8172433;32523;Prueba performance insertar ajuste de recarga 13181;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172434;39764;2024-11-15;8172434;32524;Prueba performance insertar ajuste de recarga 13182;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172435;39765;2024-11-15;8172435;32525;Prueba performance insertar ajuste de recarga 13183;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172436;39766;2024-11-15;8172436;32526;Prueba performance insertar ajuste de recarga 13184;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172437;39763;2024-11-15;8172437;32527;Prueba performance insertar ajuste de recarga 13185;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172438;39763;2024-11-15;8172438;32528;Prueba performance insertar ajuste de recarga 13186;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172439;39764;2024-11-15;8172439;32529;Prueba performance insertar ajuste de recarga 13187;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172440;39765;2024-11-15;8172440;32530;Prueba performance insertar ajuste de recarga 13188;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172441;39766;2024-11-15;8172441;32531;Prueba performance insertar ajuste de recarga 13189;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172442;39763;2024-11-15;8172442;32532;Prueba performance insertar ajuste de recarga 13190;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172443;39763;2024-11-15;8172443;32533;Prueba performance insertar ajuste de recarga 13191;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172444;39764;2024-11-15;8172444;32534;Prueba performance insertar ajuste de recarga 13192;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172445;39765;2024-11-15;8172445;32535;Prueba performance insertar ajuste de recarga 13193;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172446;39766;2024-11-15;8172446;32536;Prueba performance insertar ajuste de recarga 13194;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172447;39763;2024-11-15;8172447;32537;Prueba performance insertar ajuste de recarga 13195;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172448;39764;2024-11-15;8172448;32538;Prueba performance insertar ajuste de recarga 13196;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172449;39765;2024-11-15;8172449;32539;Prueba performance insertar ajuste de recarga 13197;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172450;39766;2024-11-15;8172450;32540;Prueba performance insertar ajuste de recarga 13198;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172451;39763;2024-11-15;8172451;32541;Prueba performance insertar ajuste de recarga 13199;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172452;39763;2024-11-15;8172452;32542;Prueba performance insertar ajuste de recarga 13200;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172453;39764;2024-11-15;8172453;32543;Prueba performance insertar ajuste de recarga 13201;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172454;39765;2024-11-15;8172454;32544;Prueba performance insertar ajuste de recarga 13202;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172455;39766;2024-11-15;8172455;32545;Prueba performance insertar ajuste de recarga 13203;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172456;39763;2024-11-15;8172456;32546;Prueba performance insertar ajuste de recarga 13204;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172457;39763;2024-11-15;8172457;32547;Prueba performance insertar ajuste de recarga 13205;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172458;39764;2024-11-15;8172458;32548;Prueba performance insertar ajuste de recarga 13206;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172459;39765;2024-11-15;8172459;32549;Prueba performance insertar ajuste de recarga 13207;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172460;39766;2024-11-15;8172460;32550;Prueba performance insertar ajuste de recarga 13208;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172461;39763;2024-11-15;8172461;32551;Prueba performance insertar ajuste de recarga 13209;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172462;39763;2024-11-15;8172462;32552;Prueba performance insertar ajuste de recarga 13210;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172463;39764;2024-11-15;8172463;32553;Prueba performance insertar ajuste de recarga 13211;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172464;39765;2024-11-15;8172464;32554;Prueba performance insertar ajuste de recarga 13212;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172465;39766;2024-11-15;8172465;32555;Prueba performance insertar ajuste de recarga 13213;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172466;39763;2024-11-15;8172466;32556;Prueba performance insertar ajuste de recarga 13214;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172467;39763;2024-11-15;8172467;32557;Prueba performance insertar ajuste de recarga 13215;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172468;39764;2024-11-15;8172468;32558;Prueba performance insertar ajuste de recarga 13216;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172469;39765;2024-11-15;8172469;32559;Prueba performance insertar ajuste de recarga 13217;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172470;39766;2024-11-15;8172470;32560;Prueba performance insertar ajuste de recarga 13218;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172471;39763;2024-11-15;8172471;32561;Prueba performance insertar ajuste de recarga 13219;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172472;39763;2024-11-15;8172472;32562;Prueba performance insertar ajuste de recarga 13220;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172473;39764;2024-11-15;8172473;32563;Prueba performance insertar ajuste de recarga 13221;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172474;39765;2024-11-15;8172474;32564;Prueba performance insertar ajuste de recarga 13222;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172475;39766;2024-11-15;8172475;32565;Prueba performance insertar ajuste de recarga 13223;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172476;39763;2024-11-15;8172476;32566;Prueba performance insertar ajuste de recarga 13224;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172477;39764;2024-11-15;8172477;32567;Prueba performance insertar ajuste de recarga 13225;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172478;39765;2024-11-15;8172478;32568;Prueba performance insertar ajuste de recarga 13226;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172479;39766;2024-11-15;8172479;32569;Prueba performance insertar ajuste de recarga 13227;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172480;39763;2024-11-15;8172480;32570;Prueba performance insertar ajuste de recarga 13228;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172481;39763;2024-11-15;8172481;32571;Prueba performance insertar ajuste de recarga 13229;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172482;39764;2024-11-15;8172482;32572;Prueba performance insertar ajuste de recarga 13230;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172483;39765;2024-11-15;8172483;32573;Prueba performance insertar ajuste de recarga 13231;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172484;39766;2024-11-15;8172484;32574;Prueba performance insertar ajuste de recarga 13232;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172485;39763;2024-11-15;8172485;32575;Prueba performance insertar ajuste de recarga 13233;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172486;39763;2024-11-15;8172486;32576;Prueba performance insertar ajuste de recarga 13234;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172487;39764;2024-11-15;8172487;32577;Prueba performance insertar ajuste de recarga 13235;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172488;39765;2024-11-15;8172488;32578;Prueba performance insertar ajuste de recarga 13236;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172489;39766;2024-11-15;8172489;32579;Prueba performance insertar ajuste de recarga 13237;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172490;39763;2024-11-15;8172490;32580;Prueba performance insertar ajuste de recarga 13238;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172491;39763;2024-11-15;8172491;32581;Prueba performance insertar ajuste de recarga 13239;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172492;39764;2024-11-15;8172492;32582;Prueba performance insertar ajuste de recarga 13240;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172493;39765;2024-11-15;8172493;32583;Prueba performance insertar ajuste de recarga 13241;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172494;39766;2024-11-15;8172494;32584;Prueba performance insertar ajuste de recarga 13242;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172495;39763;2024-11-15;8172495;32585;Prueba performance insertar ajuste de recarga 13243;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172496;39763;2024-11-15;8172496;32586;Prueba performance insertar ajuste de recarga 13244;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172497;39764;2024-11-15;8172497;32587;Prueba performance insertar ajuste de recarga 13245;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172498;39765;2024-11-15;8172498;32588;Prueba performance insertar ajuste de recarga 13246;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172499;39766;2024-11-15;8172499;32589;Prueba performance insertar ajuste de recarga 13247;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172500;39763;2024-11-15;8172500;32590;Prueba performance insertar ajuste de recarga 13248;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172501;39763;2024-11-15;8172501;32591;Prueba performance insertar ajuste de recarga 13249;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172502;39764;2024-11-15;8172502;32592;Prueba performance insertar ajuste de recarga 13250;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172503;39765;2024-11-15;8172503;32593;Prueba performance insertar ajuste de recarga 13251;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172504;39766;2024-11-15;8172504;32594;Prueba performance insertar ajuste de recarga 13252;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172505;39763;2024-11-15;8172505;32595;Prueba performance insertar ajuste de recarga 13253;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172506;39764;2024-11-15;8172506;32596;Prueba performance insertar ajuste de recarga 13254;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172507;39765;2024-11-15;8172507;32597;Prueba performance insertar ajuste de recarga 13255;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172508;39766;2024-11-15;8172508;32598;Prueba performance insertar ajuste de recarga 13256;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172509;39763;2024-11-15;8172509;32599;Prueba performance insertar ajuste de recarga 13257;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172510;39763;2024-11-15;8172510;32600;Prueba performance insertar ajuste de recarga 13258;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172511;39764;2024-11-15;8172511;32601;Prueba performance insertar ajuste de recarga 13259;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172512;39765;2024-11-15;8172512;32602;Prueba performance insertar ajuste de recarga 13260;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172513;39766;2024-11-15;8172513;32603;Prueba performance insertar ajuste de recarga 13261;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172514;39763;2024-11-15;8172514;32604;Prueba performance insertar ajuste de recarga 13262;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172515;39763;2024-11-15;8172515;32605;Prueba performance insertar ajuste de recarga 13263;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172516;39764;2024-11-15;8172516;32606;Prueba performance insertar ajuste de recarga 13264;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172517;39765;2024-11-15;8172517;32607;Prueba performance insertar ajuste de recarga 13265;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172518;39766;2024-11-15;8172518;32608;Prueba performance insertar ajuste de recarga 13266;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172519;39763;2024-11-15;8172519;32609;Prueba performance insertar ajuste de recarga 13267;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172520;39763;2024-11-15;8172520;32610;Prueba performance insertar ajuste de recarga 13268;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172521;39764;2024-11-15;8172521;32611;Prueba performance insertar ajuste de recarga 13269;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172522;39765;2024-11-15;8172522;32612;Prueba performance insertar ajuste de recarga 13270;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172523;39766;2024-11-15;8172523;32613;Prueba performance insertar ajuste de recarga 13271;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172524;39763;2024-11-15;8172524;32614;Prueba performance insertar ajuste de recarga 13272;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172525;39763;2024-11-15;8172525;32615;Prueba performance insertar ajuste de recarga 13273;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172526;39764;2024-11-15;8172526;32616;Prueba performance insertar ajuste de recarga 13274;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172527;39765;2024-11-15;8172527;32617;Prueba performance insertar ajuste de recarga 13275;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172528;39766;2024-11-15;8172528;32618;Prueba performance insertar ajuste de recarga 13276;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172529;39763;2024-11-15;8172529;32619;Prueba performance insertar ajuste de recarga 13277;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172530;39763;2024-11-15;8172530;32620;Prueba performance insertar ajuste de recarga 13278;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172531;39764;2024-11-15;8172531;32621;Prueba performance insertar ajuste de recarga 13279;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172532;39765;2024-11-15;8172532;32622;Prueba performance insertar ajuste de recarga 13280;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172533;39766;2024-11-15;8172533;32623;Prueba performance insertar ajuste de recarga 13281;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172534;39763;2024-11-15;8172534;32624;Prueba performance insertar ajuste de recarga 13282;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172535;39764;2024-11-15;8172535;32625;Prueba performance insertar ajuste de recarga 13283;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172536;39765;2024-11-15;8172536;32626;Prueba performance insertar ajuste de recarga 13284;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172537;39766;2024-11-15;8172537;32627;Prueba performance insertar ajuste de recarga 13285;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172538;39763;2024-11-15;8172538;32628;Prueba performance insertar ajuste de recarga 13286;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172539;39763;2024-11-15;8172539;32629;Prueba performance insertar ajuste de recarga 13287;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172540;39764;2024-11-15;8172540;32630;Prueba performance insertar ajuste de recarga 13288;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172541;39765;2024-11-15;8172541;32631;Prueba performance insertar ajuste de recarga 13289;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172542;39766;2024-11-15;8172542;32632;Prueba performance insertar ajuste de recarga 13290;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172543;39763;2024-11-15;8172543;32633;Prueba performance insertar ajuste de recarga 13291;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172544;39763;2024-11-15;8172544;32634;Prueba performance insertar ajuste de recarga 13292;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172545;39764;2024-11-15;8172545;32635;Prueba performance insertar ajuste de recarga 13293;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172546;39765;2024-11-15;8172546;32636;Prueba performance insertar ajuste de recarga 13294;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172547;39766;2024-11-15;8172547;32637;Prueba performance insertar ajuste de recarga 13295;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172548;39763;2024-11-15;8172548;32638;Prueba performance insertar ajuste de recarga 13296;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172549;39763;2024-11-15;8172549;32639;Prueba performance insertar ajuste de recarga 13297;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172550;39764;2024-11-15;8172550;32640;Prueba performance insertar ajuste de recarga 13298;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172551;39765;2024-11-15;8172551;32641;Prueba performance insertar ajuste de recarga 13299;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172552;39766;2024-11-15;8172552;32642;Prueba performance insertar ajuste de recarga 13300;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172553;39763;2024-11-15;8172553;32643;Prueba performance insertar ajuste de recarga 13301;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172554;39763;2024-11-15;8172554;32644;Prueba performance insertar ajuste de recarga 13302;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172555;39764;2024-11-15;8172555;32645;Prueba performance insertar ajuste de recarga 13303;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172556;39765;2024-11-15;8172556;32646;Prueba performance insertar ajuste de recarga 13304;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172557;39766;2024-11-15;8172557;32647;Prueba performance insertar ajuste de recarga 13305;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172558;39763;2024-11-15;8172558;32648;Prueba performance insertar ajuste de recarga 13306;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172559;39763;2024-11-15;8172559;32649;Prueba performance insertar ajuste de recarga 13307;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172560;39764;2024-11-15;8172560;32650;Prueba performance insertar ajuste de recarga 13308;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172561;39765;2024-11-15;8172561;32651;Prueba performance insertar ajuste de recarga 13309;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172562;39766;2024-11-15;8172562;32652;Prueba performance insertar ajuste de recarga 13310;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172563;39763;2024-11-15;8172563;32653;Prueba performance insertar ajuste de recarga 13311;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172564;39764;2024-11-15;8172564;32654;Prueba performance insertar ajuste de recarga 13312;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172565;39765;2024-11-15;8172565;32655;Prueba performance insertar ajuste de recarga 13313;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172566;39766;2024-11-15;8172566;32656;Prueba performance insertar ajuste de recarga 13314;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172567;39763;2024-11-15;8172567;32657;Prueba performance insertar ajuste de recarga 13315;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172568;39763;2024-11-15;8172568;32658;Prueba performance insertar ajuste de recarga 13316;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172569;39764;2024-11-15;8172569;32659;Prueba performance insertar ajuste de recarga 13317;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172570;39765;2024-11-15;8172570;32660;Prueba performance insertar ajuste de recarga 13318;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172571;39766;2024-11-15;8172571;32661;Prueba performance insertar ajuste de recarga 13319;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172572;39763;2024-11-15;8172572;32662;Prueba performance insertar ajuste de recarga 13320;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172573;39763;2024-11-15;8172573;32663;Prueba performance insertar ajuste de recarga 13321;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172574;39764;2024-11-15;8172574;32664;Prueba performance insertar ajuste de recarga 13322;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172575;39765;2024-11-15;8172575;32665;Prueba performance insertar ajuste de recarga 13323;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172576;39766;2024-11-15;8172576;32666;Prueba performance insertar ajuste de recarga 13324;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172577;39763;2024-11-15;8172577;32667;Prueba performance insertar ajuste de recarga 13325;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172578;39763;2024-11-15;8172578;32668;Prueba performance insertar ajuste de recarga 13326;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172579;39764;2024-11-15;8172579;32669;Prueba performance insertar ajuste de recarga 13327;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172580;39765;2024-11-15;8172580;32670;Prueba performance insertar ajuste de recarga 13328;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172581;39766;2024-11-15;8172581;32671;Prueba performance insertar ajuste de recarga 13329;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172582;39763;2024-11-15;8172582;32672;Prueba performance insertar ajuste de recarga 13330;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172583;39763;2024-11-15;8172583;32673;Prueba performance insertar ajuste de recarga 13331;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172584;39764;2024-11-15;8172584;32674;Prueba performance insertar ajuste de recarga 13332;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172585;39765;2024-11-15;8172585;32675;Prueba performance insertar ajuste de recarga 13333;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172586;39766;2024-11-15;8172586;32676;Prueba performance insertar ajuste de recarga 13334;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172587;39763;2024-11-15;8172587;32677;Prueba performance insertar ajuste de recarga 13335;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172588;39763;2024-11-15;8172588;32678;Prueba performance insertar ajuste de recarga 13336;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172589;39764;2024-11-15;8172589;32679;Prueba performance insertar ajuste de recarga 13337;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172590;39765;2024-11-15;8172590;32680;Prueba performance insertar ajuste de recarga 13338;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172591;39766;2024-11-15;8172591;32681;Prueba performance insertar ajuste de recarga 13339;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8172592;39763;2024-11-15;8172592;32682;Prueba performance insertar ajuste de recarga 13340;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
